entnum;Ellix;fj;score;nom
483520813;IE4;5710;5;IENA CONSULTING
397868100;IE4;5499;5;IMAGES D'ARTISTES
753515006;IE4;5499;4;SOCIETE D'ETUDES D'INGENIERIES ET DE REALISATIONS TECHNIQUES
525289971;IE4;5499;2;RSE ENERGIE
490719382;IE4;5498;2;ADSM. ALLO DEPANNAGE SERVICE MAISON
490214400;IE4;5710;3;ANAKA
514658418;IE4;5498;3;KARLCAP
504286790;IE4;5498;6;LES GLACES DE LA COTE
532972577;NA;5720;0;RAF
533074712;IE4;5720;4;M I L PARIS
498918564;IE4;5499;5;AXE-7
519525323;IE1;5720;1;CITY MODELS
512268186;IE4;5720;2;TRANSPORTS MIDI-PYRENEES
750932865;NA;1100;6;DIHO SANDRA NICOLE GABRIELLE
494888100;IE4;5499;2;V.B
791255482;IE4;5499;3;IMMOBILIERE SAINT ROCH
504588641;IE4;5498;2;EURL A2SL HOLDING
791708456;IE2;5499;1;R G O
449348663;IE4;5485;5;DOCTEUR MATHIEU TIJARDOVIC SELARL
520816653;IE4;5499;8;SARL M&D PROMOTION INVESTISSEMENT
533947180;IE4;5499;4;ECLAIRAGE COMMERCE
791255482;IE4;5499;3;IMMOBILIERE SAINT ROCH
317428381;IE4;5710;5;NORMANDIE MANUTENTION
397868100;IE4;5499;5;IMAGES D'ARTISTES
510044258;IE4;5498;3;DATA POWER CONSTRUCTION D P C
353013972;NA;1200;4;GUERIN ANNE ANDREE CARMEL
523528495;IE4;5499;2;SOMMEIL NATURE
582052049;IE4;5710;4;BLANCHISSERIE TEINTURERIE WARTNER
750687063;IE4;5720;6;LE MONDE DU BAGAGE
753859750;IE4;5710;2;MAISON PISCINE CONCEPT
523461028;IE4;5499;4;CITY-VAN TRANSFERT
410966212;IE4;5499;2;VERTVILLE ET CAMPAGNE
490399490;IE3;5499;2;EAU JARDIN
511931172;IE4;5710;5;EVOLIANCE
448549410;IE4;5710;5;INFRASSUR
504745316;IE4;5499;4;FRANCHARD
484436662;IE4;5498;3;SERVICES BRICOLAGE MATERIAUX LOCATION
354007742;IE4;5710;4;ETABLISSEMENTS PIERRE FOUQUE
792247330;IE4;5498;3;TELECOMS SOLUTIONS ENTREPRISES
378352660;IE4;5499;4;SOCIETE EUROPEENNE DE MATERIEL S.E.M
529558603;IE4;5720;3;SCANDI-HOME
501097299;IE4;5499;4;EMPIRE SECURITY SARL
538202466;IE4;5499;3;SITDIS
434013983;IE4;5499;4;SARL DIX NEUF-SOIXANTE NEUF
790923445;NA;5710;0;EMOTIONS GOURMANDES
791293566;IE4;5710;3;APIDAZE
387791262;NA;5720;0;MENUI 2B
529832842;NA;1300;4;ROSTAING CHRISTOPHE
514640580;IE4;5499;4;ISLAY
312009046;IE4;5710;6;SUBLITISS
753513571;IE4;5498;5;MAUD MAQUILLAGE PERMANENT PARIS PASSY
532728391;IE4;5499;3;DYARCHITECTE
528291354;NA;1200;6;CARUSO BRIGITTE
792551376;IE4;5498;4;AUTOGOLD 33
478077233;IE4;5499;6;MAC ANDERS
800328635;IE4;5499;5;HAIR'GO
749892923;IE4;5499;2;YVAHOO
753739762;IE4;5499;2;NAILYS COSMETICS
749892923;IE4;5499;2;YVAHOO
